measure,,,,,,mentions,mentions,mentions,muc,muc,muc,bcub,bcub,bcub,ceafe,ceafe,ceafe,lea,lea,lea,conll
metric,,,,,,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1
scenario,experiment,dev-corpus,test-corpus,topics,seed,,,,,,,,,,,,,,,,
gg,ecbp,ecbp,ecbp,closure,0,0.6077547339945898,0.5075301204819277,0.7573033707865169,0.0,0.0,0.0,0.39188613519407,0.5075301204819277,0.31916283999726924,0.28357469544227765,0.18476129912005326,0.6095975285252938,0.1920649233543733,0.16039156626506024,0.2393258426966292,22.51536102121159
gg,ecbp,ecbp,ecbp,closure,1,0.5964833183047792,0.49811746987951805,0.7432584269662922,0.0,0.0,0.0,0.38984345856880354,0.49811746987951805,0.3202351010113448,0.2867529676179494,0.18683208225258338,0.6164298266619398,0.19522091974752026,0.16302710843373494,0.24325842696629213,22.5532142062251
gg,ecbp,ecbp,ecbp,closure,2,0.5491433724075744,0.4585843373493976,0.6842696629213483,0.0,0.0,0.0,0.34450882934599486,0.4585843373493976,0.27588166779760614,0.24575050480098215,0.16011718695711583,0.5282872652895647,0.16411181244364292,0.13704819277108435,0.20449438202247192,19.67531113823257
gg_aug,gg_aug_bbc-ecbp,ecbp,ecbp,closure,0,0.5631199278629396,0.47025602409638556,0.7016853932584269,0.0,0.0,0.0,0.3453072850380739,0.47025602409638556,0.27281843326129046,0.23865373948404922,0.15549333440404636,0.5130314238225431,0.15689810640216412,0.13102409638554216,0.19550561797752808,19.46536748407077
gg_aug,gg_aug_bbc-ecbp,ecbp,ecbp,closure,1,0.5501691093573845,0.4595103578154426,0.6853932584269663,0.04012036108324975,0.9090909090909091,0.020512820512820513,0.3364192350221737,0.4592592592592593,0.26542490784189454,0.23223257312317644,0.15161708818789985,0.4959103021102364,0.1604501359914418,0.13785310734463277,0.19190788087003344,20.29240564095333
gg_aug,gg_aug_bbc-ecbp,ecbp,ecbp,closure,2,0.5775473399458971,0.4823042168674699,0.7196629213483146,0.028254288597376387,0.875,0.014358974358974359,0.3605827427767791,0.4817394578313253,0.28812081220741237,0.2541283159518503,0.16580910008600838,0.5437714586671579,0.17331962499801748,0.14796686746987953,0.20915669488769292,21.43217824420019
gg_aug,gg_aug_abc-ecbp,ecbp,ecbp,closure,0,0.5649233543733092,0.47176204819277107,0.7039325842696629,0.0020491803278688526,1.0,0.0010256410256410256,0.35292613225368985,0.47176204819277107,0.28191284956001417,0.2489603510336753,0.16222275227429692,0.5350328040847929,0.16470251897970203,0.1378012048192771,0.20465489566613163,20.131188787174466
gg_aug,gg_aug_abc-ecbp,ecbp,ecbp,closure,1,0.524346257889991,0.4378765060240964,0.653370786516854,0.026262626262626265,0.8666666666666667,0.013333333333333334,0.3248808138135763,0.4375,0.25837193032433703,0.227679483010849,0.14853909474732785,0.4873189431399911,0.15196341755024553,0.12914156626506024,0.18458282888686062,19.294097436235056
